江苏电信,#genre#
东方卫视,http://219.140.226.27:5555/rtp/239.254.96.142:8926
浙江卫视,http://219.140.226.27:5555/rtp/239.254.96.143:8932
江苏卫视,http://219.140.226.27:5555/rtp/239.254.96.144:8938
天津卫视,http://219.140.226.27:5555/rtp/239.69.1.68:10048
山东卫视,http://219.140.226.27:5555/rtp/239.69.1.69:10054
安徽卫视,http://219.140.226.27:5555/rtp/239.69.1.70:10060
辽宁卫视,http://219.140.226.27:5555/rtp/239.69.1.71:10066
东南卫视,http://219.140.226.27:5555/rtp/239.69.1.108:10286
江西卫视,http://219.140.226.27:5555/rtp/239.69.1.126:10394
重庆卫视,http://219.140.226.27:5555/rtp/239.69.1.149:10530
贵州卫视,http://219.140.226.27:5555/rtp/239.69.1.150:10536
海南卫视,http://219.140.226.27:5555/rtp/239.69.1.151:10542
河南卫视,http://219.140.226.27:5555/rtp/239.69.1.168:10644
四川卫视,http://219.140.226.27:5555/rtp/239.69.1.169:10650
广西卫视,http://219.140.226.27:5555/rtp/239.69.1.191:10788
吉林卫视,http://219.140.226.27:5555/rtp/239.69.1.212:10914
黑龙江卫视,http://219.140.226.27:5555/rtp/239.254.96.138:8902
金鹰卡通,http://219.140.226.27:5555/rtp/239.69.1.248:11130
卡酷少儿,http://219.140.226.27:5555/rtp/239.69.1.193:10800
金鹰纪实,http://219.140.226.27:5555/rtp/239.69.1.109:10292
CETV1,http://219.140.226.27:5555/rtp/239.69.1.110:10298
CCTV-第一剧场,http://219.140.226.27:5555/rtp/239.69.1.74:10084
CCTV-兵器科技,http://219.140.226.27:5555/rtp/239.69.1.79:10114
CCTV-风云足球,http://219.140.226.27:5555/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://219.140.226.27:5555/rtp/239.69.1.83:10138
CCTV-世界地理,http://219.140.226.27:5555/rtp/239.69.1.91:10186
CCTV-央视台球,http://219.140.226.27:5555/rtp/239.69.1.98:10224
CCTV-4 欧洲,http://219.140.226.27:5555/rtp/239.69.1.231:11028
CCTV-4 美洲,http://219.140.226.27:5555/rtp/239.69.1.232:11034
CGTN记录片,http://219.140.226.27:5555/rtp/239.69.1.233:11040
CGTN西班牙语,http://219.140.226.27:5555/rtp/239.69.1.234:11046
CGTN法语,http://219.140.226.27:5555/rtp/239.69.1.235:11052
武汉新闻综合,http://219.140.226.27:5555/rtp/239.69.1.145:10506
武汉电视剧,http://219.140.226.27:5555/rtp/239.69.1.146:10512
武汉科技生活,http://219.140.226.27:5555/rtp/239.69.1.251:11148
武汉经济,http://219.140.226.27:5555/rtp/239.69.1.35:9850
武汉文体,http://219.140.226.27:5555/rtp/239.69.1.147:10518
武汉外语,http://219.140.226.27:5555/rtp/239.69.1.36:9856
武汉教育,http://219.140.226.27:5555/rtp/239.69.1.60:9994
阳新综合,http://219.140.226.27:5555/rtp/239.69.1.34:9844
房县综合,http://219.140.226.27:5555/rtp/239.69.1.192:10794
蔡甸综合,http://219.140.226.27:5555/rtp/239.69.1.245:11112
